#     ,     ,     ,       kN,       kN,       kN,      kNm,      kNm,      kNm

#    NODE ID,   LC,     PX,     PY,     PZ,     MX,     MY,     MZ

PLOD,      3,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,      5,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,      7,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,      9,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     11,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     13,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     15,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     17,    1,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     19,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     21,    3,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     23,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     25,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     27,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     29,    0,      0.0,    -27.1,      0.0,      0.0,      0.0,      0.0
PLOD,     31,    0,      0.0,   -20.32,      0.0,      0.0,      0.0,      0.0
PLOD,     33,    0,      0.0,    -6.78,      0.0,      0.0,      0.0,      0.0

# --- ELEMENT LOAD(ELOD) ---
# ELOD, ELEM,   LC,   EG,      WXi,      WYi,      WZi,      WXj,      WYj,      WZj
#     ,     ,     ,     ,     kN/m,     kN/m,     kN/m,     kN/m,     kN/m,     kN/m
#   EG: 0=element local axes  1=global axes
#
